ID,age_upon_outcome,breed,color,date_of_birth,coat_pattern,name,outcome_type,sex_upon_outcome,sex
1,2 weeks,domestic shorthair,orange,07/07/2014 00:00,tabby,,Transfer,Intact Male,Male
2,1 month,domestic shorthair,blue /white,16/06/2014 00:00,tabby,Lucy,Adoption,Intact Female,Female
3,3 months,domestic shorthair,white/black,26/03/2014 00:00,,*Frida,Adoption,Spayed Female,Female
4,1 year,domestic mediumhair,black/white,27/03/2013 00:00,,Stella Luna,Return to Owner,Spayed Female,Female
5,3 weeks,domestic shorthair,black/white,16/12/2013 00:00,,,Transfer,Intact Male,Male
6,2 months,domestic shorthair,brown,02/06/2014 00:00,tabby,Elsa,Adoption,Spayed Female,Female
7,8 months,domestic shorthair,brown /white,05/07/2013 00:00,tabby,,Transfer,Unknown,Female
8,5 months,domestic shorthair,black,22/03/2014 00:00,tabby,Chester,Adoption,Neutered Male,Male
9,2 months,domestic shorthair,orange,03/08/2014 00:00,tabby,*Oliver,Adoption,Neutered Male,Male
10,1 year,domestic mediumhair,black/white,04/12/2012 00:00,,*Preston,Transfer,Neutered Male,Male
11,2 months,siamese,seal,27/04/2014 00:00,point,*Bumble,Transfer,Intact Female,Female
12,2 weeks,domestic shorthair,black,27/05/2014 00:00,,,Transfer,Unknown,Female
13,2 months,domestic shorthair,,14/04/2014 00:00,torbie,,Adoption,Spayed Female,Female
14,3 months,domestic shorthair,black,15/04/2014 00:00,,,Adoption,Spayed Female,Female
15,3 weeks,domestic shorthair,black,05/08/2014 00:00,,,Transfer,Intact Male,Male
16,3 years,domestic mediumhair,orange,02/08/2011 00:00,tabby,Pumpkin,Died,Neutered Male,Male
17,4 years,russian blue,blue,24/06/2010 00:00,,Winnie,Adoption,Spayed Female,Female
18,2 years,domestic shorthair,cream /white,26/11/2012 00:00,tabby,Snowflake,Transfer,Neutered Male,Male
19,7 years,russian blue,blue,16/07/2007 00:00,,Smoke,Adoption,Neutered Male,Male
20,1 month,domestic shorthair,,05/06/2014 00:00,calico,*Dora,Transfer,Intact Female,Female
21,1 year,domestic mediumhair,brown,24/09/2013 00:00,tabby,,Transfer,Intact Female,Female
22,2 years,domestic shorthair,,31/05/2012 00:00,calico,,Transfer,Intact Female,Female
23,2 months,domestic shorthair,chocolate,10/08/2013 00:00,,*Cosmo,Transfer,Neutered Male,Male
24,4 weeks,domestic shorthair,brown,21/03/2014 00:00,tabby,,Transfer,Intact Male,Male
25,3 months,domestic shorthair,brown /white,01/08/2014 00:00,tabby,,Transfer,Intact Female,Female
26,1 year,domestic shorthair,,01/01/2013 00:00,torbie,*Sophie,Adoption,Spayed Female,Female
27,2 months,domestic mediumhair,brown,04/09/2013 00:00,tabby,,Euthanasia,Intact Female,Female
28,6 years,domestic shorthair,blue /white,11/01/2008 00:00,tabby,Mischief,Return to Owner,Neutered Male,Male
29,2 years,domestic shorthair,black/white,22/09/2012 00:00,,,Transfer,Neutered Male,Male
30,2 weeks,domestic shorthair,black/white,12/04/2014 00:00,,,Euthanasia,Unknown,Female
31,3 weeks,domestic shorthair,orange,29/08/2014 00:00,tabby,,Transfer,Intact Male,Male
32,2 months,domestic shorthair,brown,09/09/2014 00:00,tabby,*Rose,Adoption,Spayed Female,Female
33,3 months,domestic shorthair,brown,19/03/2014 00:00,tabby,,Adoption,Spayed Female,Female
34,2 years,domestic shorthair,blue,13/09/2012 00:00,tabby,,Transfer,Neutered Male,Male
35,4 months,domestic shorthair,black,06/06/2013 00:00,,*Monkey,Adoption,Neutered Male,Male
36,2 months,domestic longhair,brown,01/10/2014 00:00,tabby,Lucy,Adoption,Spayed Female,Female
37,1 year,domestic shorthair,orange,11/11/2012 00:00,tabby,*Mike,Adoption,Neutered Male,Male
38,2 years,domestic shorthair,brown,05/02/2012 00:00,tabby,*Magnolia,Adoption,Spayed Female,Female
39,2 months,domestic shorthair,white/black,06/08/2014 00:00,,*Winston,Adoption,Neutered Male,Male
40,5 months,domestic mediumhair,black/white,24/07/2013 00:00,,*Kim,Transfer,Neutered Male,Male
41,3 months,domestic shorthair,orange,23/07/2013 00:00,tabby,*Alley,Adoption,Neutered Male,Male
42,2 years,domestic shorthair,brown,24/02/2012 00:00,tabby,,Transfer,Unknown,Female
43,1 month,domestic shorthair,orange,24/10/2013 00:00,tabby,*Martin,Transfer,Intact Male,Male
44,8 years,domestic shorthair,brown /white,23/12/2005 00:00,tabby,,Euthanasia,Intact Female,Female
45,3 weeks,domestic shorthair,black/white,18/07/2014 00:00,,,Transfer,Intact Female,Female
46,10 years,domestic shorthair,black/white,25/08/2004 00:00,,Tiki,Adoption,Neutered Male,Male
47,2 months,domestic shorthair,orange,04/08/2013 00:00,tabby,*Taylor,Transfer,Intact Female,Female
48,3 weeks,domestic shorthair,blue /white,08/09/2014 00:00,tabby,,Euthanasia,Intact Male,Male
49,8 years,domestic shorthair,,12/10/2005 00:00,torbie,*Amber,Adoption,Spayed Female,Female
50,4 weeks,domestic shorthair,orange /white,19/06/2014 00:00,tabby,,Euthanasia,Intact Female,Female
51,3 years,domestic shorthair,blue/white,18/04/2011 00:00,,Jenny,Transfer,Spayed Female,Female
52,3 months,domestic shorthair,blue,01/04/2014 00:00,tabby,,Adoption,Spayed Female,Female
53,2 months,domestic shorthair,brown,26/04/2014 00:00,tabby,*Libby,Adoption,Spayed Female,Female
54,2 months,domestic shorthair,orange /white,12/09/2014 00:00,tabby,Rainy,Adoption,Spayed Female,Female
55,5 months,domestic shorthair,orange /white,03/05/2013 00:00,tabby,,Transfer,Intact Male,Male
56,3 years,domestic shorthair,orange,17/07/2011 00:00,tabby,,Adoption,Neutered Male,Male
57,3 years,domestic shorthair,silver,13/10/2011 00:00,tabby,,Transfer,Unknown,Female
58,15 years,domestic shorthair,blue,06/05/1999 00:00,tabby,,Transfer,Intact Female,Female
59,1 year,domestic shorthair,brown,18/08/2012 00:00,tabby,*Trinity,Adoption,Spayed Female,Female
60,3 weeks,domestic shorthair,brown,31/05/2014 00:00,tabby,,Transfer,Intact Female,Female
61,4 weeks,domestic shorthair,black,23/06/2014 00:00,,,Transfer,Intact Female,Female
62,2 weeks,siamese,flame,25/07/2014 00:00,point,,Transfer,Intact Female,Female
63,10 months,domestic shorthair,brown,25/07/2013 00:00,tabby,,Transfer,Intact Female,Female
64,10 months,domestic longhair,black,18/03/2013 00:00,,,Transfer,Unknown,Female
65,11 months,domestic shorthair,orange /white,10/06/2013 00:00,tabby,*Orville,Adoption,Neutered Male,Male
66,1 year,domestic shorthair,black,16/04/2012 00:00,,Salem,Adoption,Neutered Male,Male
67,1 year,domestic shorthair,brown,26/12/2012 00:00,tabby,*Ursula,Transfer,Unknown,Female
68,2 months,domestic shorthair,,09/09/2014 00:00,torbie,*Lily,Adoption,Spayed Female,Female
69,3 years,domestic longhair,orange,16/09/2011 00:00,tabby,Garfield,Transfer,Neutered Male,Male
70,8 years,domestic shorthair,white/orange,16/11/2005 00:00,tabby,Garfield,Return to Owner,Neutered Male,Male
71,6 months,domestic shorthair,blue,01/03/2014 00:00,,Mina,Adoption,Spayed Female,Female
72,1 month,domestic shorthair,black/white,29/06/2014 00:00,,*Michonne,Transfer,Intact Female,Female
73,5 months,siamese,seal,29/03/2014 00:00,point,,Transfer,Intact Male,Male
74,2 months,domestic shorthair,,05/04/2014 00:00,torbie,*Juliet,Adoption,Spayed Female,Female
75,2 weeks,domestic shorthair,blue/white,27/05/2014 00:00,,,Transfer,Unknown,Female
76,2 months,domestic shorthair,blue /white,17/04/2014 00:00,tabby,*Twix,Adoption,Neutered Male,Male
77,1 month,domestic shorthair,blue,24/05/2014 00:00,,,Euthanasia,Intact Male,Male
78,2 weeks,domestic shorthair,black/white,12/04/2014 00:00,,,Transfer,Unknown,Female
79,2 months,domestic mediumhair,orange,19/02/2014 00:00,tabby,Novio,Adoption,Intact Male,Male
80,2 months,domestic shorthair,,25/05/2014 00:00,tortie,*Rust,Adoption,Spayed Female,Female
81,6 months,domestic shorthair,,16/06/2014 00:00,calico,,Transfer,Intact Female,Female
82,2 months,domestic mediumhair,cream,24/03/2014 00:00,tabby,,Adoption,Spayed Female,Female
83,2 years,domestic shorthair,,16/11/2012 00:00,calico,Jelly Bean,Transfer,Spayed Female,Female
84,4 months,domestic shorthair,,19/05/2014 00:00,tortie,Cathy,Return to Owner,Spayed Female,Female
85,1 month,domestic shorthair,,24/08/2014 00:00,torbie,*Kanga,Transfer,Intact Female,Female
86,3 months,manx,brown /white,19/06/2013 00:00,tabby,Zane,Adoption,Intact Male,Male
87,1 year,domestic shorthair,orange,17/07/2012 00:00,tabby,Ron Weasley,Transfer,Neutered Male,Male
88,1 month,domestic mediumhair,brown,06/04/2014 00:00,tabby,,Transfer,Intact Male,Male
89,16 years,siamese,lynx,11/01/1998 00:00,point,Laurel,Adoption,Spayed Female,Female
90,2 months,domestic longhair,blue/white,15/04/2014 00:00,,,Adoption,Neutered Male,Male
91,4 years,siamese,lynx,17/04/2010 00:00,point,Luna,Return to Owner,Spayed Female,Female
92,2 months,domestic mediumhair,,30/06/2014 00:00,calico,Marley,Adoption,Spayed Female,Female
93,3 months,domestic shorthair,black,11/09/2013 00:00,,*Alice,Adoption,Spayed Female,Female
94,3 years,domestic shorthair,blue,13/09/2011 00:00,tabby,Cuddles,Return to Owner,Neutered Male,Male
95,6 years,domestic shorthair,cream,26/12/2007 00:00,tabby,*Pooh Bear,Adoption,Neutered Male,Male
96,3 months,domestic longhair,brown,20/08/2014 00:00,tabby,Tucker,Adoption,Intact Male,Male
97,3 weeks,domestic shorthair,cream,07/10/2014 00:00,tabby,,Transfer,Unknown,Female
98,1 month,domestic shorthair,,14/04/2014 00:00,torbie,*Louisa,Died,Intact Female,Female
99,1 year,domestic mediumhair,orange /white,28/05/2013 00:00,tabby,,Transfer,Neutered Male,Male
100,2 weeks,domestic shorthair,brown,09/04/2014 00:00,tabby,,Transfer,Intact Female,Female
101,1 month,domestic longhair,black,15/08/2013 00:00,smoke,*Minerva,Transfer,Intact Female,Female
102,8 months,domestic shorthair,orange,20/01/2014 00:00,tabby,Tiney,Transfer,Spayed Female,Female
103,9 months,domestic shorthair,,04/01/2014 00:00,tortie,Buffy,Transfer,Spayed Female,Female
104,10 months,domestic shorthair,,13/01/2013 00:00,calico,Delores,Adoption,Intact Female,Female
105,3 months,domestic shorthair,brown,15/06/2014 00:00,tabby,,Transfer,Intact Female,Female
106,2 months,domestic mediumhair,brown,16/06/2014 00:00,tabby,,Adoption,Intact Female,Female
107,3 months,domestic shorthair,brown,08/08/2014 00:00,tabby,,Transfer,Spayed Female,Female
108,4 months,domestic shorthair,white/black,22/08/2013 00:00,,Julia,Adoption,Spayed Female,Female
109,1 month,domestic shorthair,blue,28/04/2014 00:00,tabby,Scout,Adoption,Intact Male,Male
110,4 months,domestic mediumhair,,14/07/2013 00:00,calico,,Transfer,Intact Female,Female
111,3 days,domestic shorthair,brown /white,16/06/2014 00:00,tabby,,Euthanasia,Intact Male,Male
112,4 months,ragdoll,,14/04/2014 00:00,tortie,,Transfer,Intact Female,Female
113,1 month,domestic shorthair,blue,17/08/2014 00:00,,,Transfer,Intact Male,Male
114,3 weeks,domestic shorthair,black,04/04/2014 00:00,,,Euthanasia,Intact Male,Male
115,6 months,domestic shorthair,,11/02/2014 00:00,tortie,*Truffle,Adoption,Spayed Female,Female
116,1 month,domestic shorthair,black,28/04/2014 00:00,,,Euthanasia,Intact Male,Male
117,3 weeks,domestic shorthair,brown,01/09/2014 00:00,tabby,,Transfer,Intact Female,Female
118,1 year,domestic mediumhair,black,20/07/2012 00:00,,,Transfer,Intact Male,Male
119,3 months,domestic shorthair,blue,27/08/2014 00:00,tabby,Moby Dixson,Adoption,Neutered Male,Male
120,3 months,domestic shorthair,brown /white,08/08/2014 00:00,tabby,,Transfer,Intact Female,Female
121,6 days,domestic shorthair,black/white,14/05/2014 00:00,,,Transfer,Intact Male,Male
122,1 year,domestic shorthair,black/white,01/10/2012 00:00,,Juliet,Adoption,Spayed Female,Female
123,2 years,siamese,lynx,16/05/2012 00:00,point,*Elsa,Adoption,Neutered Male,Male
124,1 year,domestic shorthair,orange/white,05/03/2013 00:00,,,Euthanasia,Intact Male,Male
125,6 years,domestic mediumhair,cream,12/04/2008 00:00,tabby,Sassy,Return to Owner,Intact Female,Female
126,2 years,domestic shorthair,,30/03/2012 00:00,calico,Nala,Adoption,Spayed Female,Female
127,1 year,domestic shorthair,,11/04/2013 00:00,calico,Tabs,Adoption,Spayed Female,Female
128,1 month,domestic mediumhair,,27/03/2014 00:00,torbie,Kaleysee,Adoption,Spayed Female,Female
129,3 years,domestic shorthair,brown,14/05/2011 00:00,tabby,Tiger,Adoption,Neutered Male,Male
130,2 months,domestic shorthair,brown,19/10/2013 00:00,tabby,*Baxter,Adoption,Neutered Male,Male
131,3 weeks,domestic shorthair,/white,21/04/2014 00:00,torbie,,Transfer,Intact Female,Female
132,1 year,domestic shorthair,black/white,14/10/2013 00:00,,,Transfer,Intact Male,Male
133,4 years,domestic longhair,blue/white,25/04/2010 00:00,,,Adoption,Neutered Male,Male
134,1 year,domestic shorthair,orange /white,15/04/2012 00:00,tabby,Odessa,Adoption,Spayed Female,Female
135,4 years,domestic shorthair,black,18/07/2010 00:00,,Rogue Momo,Return to Owner,Neutered Male,Male
136,11 years,domestic mediumhair,orange /white,04/12/2003 00:00,tabby,Billy,Return to Owner,Neutered Male,Male
137,2 months,domestic shorthair,brown /white,16/04/2014 00:00,tabby,*Suzie,Adoption,Spayed Female,Female
138,4 months,domestic shorthair,black,16/11/2013 00:00,,Poppy,Adoption,Intact Female,Female
139,10 years,domestic shorthair,white/black,21/10/2003 00:00,,Dylan,Adoption,Neutered Male,Male
140,3 months,domestic shorthair,black,11/09/2013 00:00,,*Azure,Transfer,Spayed Female,Female
141,5 months,domestic shorthair,,23/09/2013 00:00,torbie,,Adoption,Spayed Female,Female
142,2 months,domestic shorthair,black,12/08/2013 00:00,,*Candy Corn,Adoption,Neutered Male,Male
143,3 years,domestic longhair,white,04/10/2011 00:00,,Kitty,Adoption,Spayed Female,Female
144,5 weeks,domestic shorthair,orange /white,05/10/2013 00:00,tabby,*Max,Died,Intact Male,Male
145,2 months,domestic shorthair,black,15/03/2014 00:00,,*Byron,Adoption,Intact Male,Male
146,9 months,domestic shorthair,,15/06/2013 00:00,torbie,Sirus,Transfer,Spayed Female,Female
147,1 week,domestic shorthair,brown,03/04/2014 00:00,tabby,,Transfer,Intact Female,Female
148,2 months,domestic shorthair,,16/08/2013 00:00,tortie,*Kera,Transfer,Spayed Female,Female
149,4 weeks,domestic shorthair,black,21/03/2014 00:00,,,Transfer,Intact Male,Male
150,1 week,domestic shorthair,,23/08/2014 00:00,torbie,,Transfer,Intact Male,Male
151,1 month,siamese,,26/08/2014 00:00,tortie,*Michonne,Transfer,Intact Female,Female
152,1 year,siamese,flame,04/12/2012 00:00,point,*Dasher,Transfer,Neutered Male,Male
153,1 year,domestic mediumhair,black,26/06/2012 00:00,,*Taco,Adoption,Neutered Male,Male
154,3 months,domestic shorthair,black,21/05/2014 00:00,,,Transfer,Intact Male,Male
155,3 months,domestic shorthair,white/blue,06/07/2013 00:00,,,Transfer,Neutered Male,Male
156,8 months,domestic shorthair,white/blue,11/04/2013 00:00,tabby,Hero,Return to Owner,Neutered Male,Male
157,2 years,domestic shorthair,black/white,07/12/2011 00:00,,*Joe,Adoption,Neutered Male,Male
158,8 years,domestic shorthair,,06/04/2006 00:00,calico,Buddy Buddy,Transfer,Spayed Female,Female
159,5 years,siamese,,12/03/2009 00:00,tortie,*Bonnie,Transfer,Spayed Female,Female
160,2 months,domestic shorthair,white/black,12/07/2014 00:00,,*Sam,Transfer,Neutered Male,Male
161,1 year,domestic shorthair,cream,08/07/2013 00:00,tabby,*Adam,Transfer,Neutered Male,Male
162,4 months,domestic shorthair,white/black,03/05/2014 00:00,,*Georgia,Adoption,Spayed Female,Female
163,2 months,domestic shorthair,black,20/03/2014 00:00,,*Castor,Adoption,Neutered Male,Male
164,8 months,domestic shorthair,cream,16/04/2013 00:00,tabby,*Stefan,Adoption,Neutered Male,Male
165,1 year,domestic shorthair,blue,27/02/2013 00:00,,,Transfer,Intact Female,Female
166,5 weeks,domestic shorthair,brown,13/08/2014 00:00,tabby,*Tina,Euthanasia,Intact Female,Female
167,2 months,domestic shorthair,cream,29/07/2014 00:00,tabby,Sage,Adoption,Intact Female,Female
168,2 years,domestic shorthair,brown,24/06/2012 00:00,tabby,,Transfer,Intact Female,Female
169,1 year,domestic mediumhair,black/white,25/05/2013 00:00,,,Transfer,Unknown,Female
170,3 weeks,domestic shorthair,,03/05/2014 00:00,torbie,,Transfer,Intact Female,Female
171,10 years,domestic mediumhair,orange,13/02/2004 00:00,tabby,,Euthanasia,Neutered Male,Male
172,3 months,domestic shorthair,brown,11/11/2013 00:00,tabby,,Transfer,Intact Male,Male
173,1 year,domestic shorthair,,28/10/2012 00:00,calico,Gizmo,Adoption,Spayed Female,Female
174,1 year,domestic shorthair,,14/01/2013 00:00,torbie,*Baby,Adoption,Spayed Female,Female
175,8 months,domestic shorthair,brown,11/07/2013 00:00,tabby,*Bobby,Adoption,Neutered Male,Male
176,3 weeks,domestic shorthair,white/blue,23/06/2014 00:00,,,Transfer,Intact Male,Male
177,2 months,domestic shorthair,brown,25/09/2014 00:00,tabby,*Cinnamon,Adoption,Spayed Female,Female
178,5 years,domestic shorthair,blue/white,17/03/2009 00:00,,Mittens,Return to Owner,Neutered Male,Male
179,2 months,domestic mediumhair,black/white,23/05/2014 00:00,,*Lexi,Adoption,Spayed Female,Female
180,8 months,domestic mediumhair,black/white,15/05/2013 00:00,,*Faith,Adoption,Spayed Female,Female
181,6 months,domestic longhair,,05/11/2013 00:00,tortie,Sassy,Transfer,Spayed Female,Female
182,3 weeks,domestic shorthair,black/white,09/09/2014 00:00,,,Transfer,Intact Male,Male
183,2 months,domestic shorthair,,24/04/2014 00:00,torbie,*Jenna,Adoption,Spayed Female,Female
184,1 year,domestic shorthair,blue,03/07/2013 00:00,tabby,Trouble,Transfer,Intact Male,Male
185,3 days,domestic longhair,black,15/06/2014 00:00,,,Transfer,Intact Male,Male
186,9 months,domestic shorthair,orange,05/07/2013 00:00,tabby,Chuy,Adoption,Neutered Male,Male
187,1 year,domestic shorthair,orange /white,18/09/2013 00:00,tabby,*Jenny,Euthanasia,Spayed Female,Female
188,2 years,siamese,seal,13/05/2012 00:00,point,Evans,Return to Owner,Neutered Male,Male
189,3 months,domestic shorthair,brown,30/04/2014 00:00,tabby,,Transfer,Intact Male,Male
190,3 months,domestic shorthair,brown,11/04/2014 00:00,tabby,Tifa,Adoption,Neutered Male,Male
191,2 years,domestic shorthair,orange /white,03/12/2011 00:00,tabby,Ceelo,Return to Owner,Neutered Male,Male
192,4 months,siamese,flame,23/08/2013 00:00,point,*Gimpy Cb,Euthanasia,Intact Female,Female
193,2 days,domestic shorthair,,20/06/2014 00:00,calico,,Transfer,Intact Female,Female
194,2 months,domestic shorthair,brown /white,07/07/2014 00:00,tabby,Luke,Adoption,Neutered Male,Male
195,3 days,domestic shorthair,blue/white,25/03/2014 00:00,,,Transfer,Intact Male,Male
196,1 year,domestic shorthair,,27/12/2012 00:00,tortie,,Transfer,Intact Female,Female
197,1 year,domestic shorthair,brown,12/10/2013 00:00,tabby,,Euthanasia,Intact Male,Male
198,7 months,domestic mediumhair,,15/02/2014 00:00,torbie,,Transfer,Spayed Female,Female
199,1 month,domestic shorthair,blue,17/08/2014 00:00,,,Transfer,Intact Male,Male
200,1 year,domestic shorthair,blue,23/03/2013 00:00,tabby,,Euthanasia,Intact Female,Female
201,3 weeks,domestic shorthair,blue,08/09/2014 00:00,tabby,,Euthanasia,Intact Male,Male
202,3 weeks,domestic shorthair,brown,23/06/2014 00:00,tabby,,Transfer,Intact Male,Male
203,2 years,domestic shorthair,brown,13/05/2012 00:00,tabby,,Transfer,Intact Female,Female
204,5 years,snowshoe/domestic shorthair,white/seal,19/05/2009 00:00,point,*S'Mores,Transfer,Neutered Male,Male
205,1 year,domestic shorthair,white,14/03/2013 00:00,,Khloe,Adoption,Spayed Female,Female
206,3 years,domestic shorthair,black/white,19/05/2011 00:00,,,Died,Intact Male,Male
207,5 days,domestic shorthair,blue,03/09/2014 00:00,tabby,,Transfer,Unknown,Female
208,1 month,domestic shorthair,/,21/08/2014 00:00,tortie,,Euthanasia,Intact Female,Female
209,3 weeks,domestic shorthair,brown,29/04/2014 00:00,tabby,,Transfer,Intact Male,Male
210,2 months,domestic shorthair,brown /white,13/02/2014 00:00,tabby,*Sugar,Adoption,Spayed Female,Female
211,4 weeks,domestic shorthair,black/white,29/04/2014 00:00,,,Euthanasia,Unknown,Female
212,2 months,domestic shorthair,blue,28/04/2014 00:00,tabby,Spruce,Adoption,Neutered Male,Male
213,2 years,domestic mediumhair,blue,08/12/2011 00:00,tabby,Luckey,Adoption,Intact Male,Male
214,4 months,domestic shorthair,orange /white,15/04/2014 00:00,tabby,,Transfer,Intact Female,Female
215,1 year,domestic shorthair,black,28/03/2013 00:00,,Pia,Adoption,Spayed Female,Female
216,3 months,domestic shorthair,brown,20/08/2013 00:00,tabby,*Sophie,Adoption,Spayed Female,Female
217,1 year,domestic shorthair,,19/01/2013 00:00,calico,,Transfer,Spayed Female,Female
218,7 months,domestic shorthair,,13/02/2013 00:00,tortie,,Transfer,Intact Female,Female
219,4 months,domestic shorthair,black/white,07/06/2014 00:00,,,Transfer,Intact Male,Male
220,3 weeks,domestic shorthair,,30/08/2014 00:00,tortie,,Transfer,Intact Female,Female
221,2 years,domestic longhair,orange /white,09/06/2012 00:00,tabby,,Transfer,Intact Female,Female
222,2 months,domestic shorthair,orange,15/03/2014 00:00,tabby,*Pete,Adoption,Spayed Female,Female
223,1 year,domestic shorthair,black,21/10/2012 00:00,,*Teddy,Transfer,Neutered Male,Male
224,1 year,domestic shorthair,brown,18/07/2013 00:00,tabby,,Transfer,Intact Female,Female
225,1 month,domestic shorthair,brown,11/05/2014 00:00,tabby,,Died,Intact Male,Male
226,1 week,domestic shorthair,cream,29/07/2014 00:00,tabby,,Transfer,Intact Male,Male
227,1 year,domestic shorthair,brown /white,23/07/2013 00:00,tabby,,Euthanasia,Intact Male,Male
228,3 weeks,domestic shorthair,black,29/05/2014 00:00,,,Transfer,Intact Male,Male
229,2 weeks,domestic shorthair,cream,04/09/2014 00:00,tabby,,Transfer,Intact Female,Female
230,2 months,russian blue,blue,29/06/2014 00:00,,*Beau,Adoption,Neutered Male,Male
231,5 months,domestic shorthair,blue /white,26/02/2014 00:00,tabby,,Transfer,Unknown,Female
232,15 years,domestic shorthair,,18/10/1999 00:00,tortie,Mitzy,Transfer,Spayed Female,Female
233,3 years,domestic shorthair,brown /white,19/11/2011 00:00,tabby,,Transfer,Intact Male,Male
234,2 years,domestic mediumhair,black,16/08/2012 00:00,,,Euthanasia,Neutered Male,Male
235,2 months,domestic shorthair,blue /white,18/04/2014 00:00,tabby,Socks,Adoption,Neutered Male,Male
236,2 months,siamese,flame,15/04/2014 00:00,point,*Hugh,Adoption,Neutered Male,Male
237,5 months,domestic shorthair,brown,27/04/2014 00:00,tabby,,Transfer,Intact Female,Female
238,6 years,domestic shorthair,,27/03/2007 00:00,tortie,Ethel,Transfer,Spayed Female,Female
239,1 year,domestic mediumhair,brown /white,02/12/2012 00:00,tabby,,Transfer,Intact Female,Female
240,6 days,domestic shorthair,blue /white,12/03/2014 00:00,tabby,,Transfer,Intact Female,Female
241,7 months,domestic shorthair,black,10/03/2013 00:00,,*Harry,Adoption,Neutered Male,Male
242,1 month,domestic shorthair,blue/white,17/05/2014 00:00,,,Died,Intact Female,Female
243,2 years,domestic shorthair,brown,31/05/2012 00:00,tabby,*Darwen,Transfer,Intact Male,Male
244,2 months,domestic shorthair,,19/05/2014 00:00,calico,*Lizzy,Adoption,Spayed Female,Female
245,2 years,domestic shorthair,brown /white,16/11/2011 00:00,tabby,Kit Tay,Transfer,Spayed Female,Female
246,3 weeks,domestic shorthair,blue,29/04/2014 00:00,tabby,,Transfer,Intact Female,Female
247,1 year,domestic shorthair,brown,12/06/2013 00:00,tabby,Spaghetti,Transfer,Spayed Female,Female
248,1 month,domestic mediumhair,brown /white,20/08/2014 00:00,tabby,Abby,Adoption,Spayed Female,Female
249,3 months,domestic shorthair,orange /white,24/05/2014 00:00,tabby,Brody,Adoption,Neutered Male,Male
250,3 weeks,domestic shorthair,brown,11/04/2014 00:00,tabby,,Transfer,Intact Female,Female
251,2 months,domestic shorthair,black/white,20/03/2014 00:00,,,Adoption,Neutered Male,Male
252,2 months,domestic shorthair,,20/09/2014 00:00,tortie,*Juliet,Adoption,Spayed Female,Female
253,1 year,domestic shorthair,orange,09/05/2013 00:00,tabby,Joey,Return to Owner,Neutered Male,Male
254,15 years,domestic shorthair,brown /white,07/11/1999 00:00,tabby,Raja,Euthanasia,Spayed Female,Female
255,4 months,domestic shorthair,brown,29/01/2014 00:00,tabby,*Chestnut,Adoption,Neutered Male,Male
256,1 year,domestic shorthair,orange,26/10/2013 00:00,tabby,,Transfer,Intact Male,Male
257,1 year,snowshoe,seal /white,26/01/2013 00:00,point,Stella,Adoption,Spayed Female,Female
258,9 years,domestic shorthair,black/white,25/11/2004 00:00,,Duncan,Adoption,Neutered Male,Male
259,10 months,domestic shorthair,brown,04/06/2013 00:00,tabby,Ginger,Adoption,Spayed Female,Female
260,3 months,domestic shorthair,black,26/08/2013 00:00,,Collins,Adoption,Neutered Male,Male
261,1 year,domestic shorthair,brown,09/08/2013 00:00,tabby,,Transfer,Intact Female,Female
262,2 months,domestic shorthair,brown,05/04/2014 00:00,tabby,*Dolce,Adoption,Spayed Female,Female
263,4 months,domestic shorthair,brown /white,27/05/2014 00:00,tabby,,Transfer,Intact Male,Male
264,2 months,domestic shorthair,brown /white,25/03/2014 00:00,tabby,,Transfer,Intact Male,Male
265,2 years,domestic shorthair,,01/02/2012 00:00,calico,Chloe,Adoption,Spayed Female,Female
266,2 weeks,domestic mediumhair,,20/04/2014 00:00,torbie,,Transfer,Intact Female,Female
267,2 months,domestic shorthair,blue,05/08/2014 00:00,tabby,*Baby Blue,Adoption,Neutered Male,Male
268,3 months,domestic shorthair,black,11/09/2014 00:00,,*Ellie,Adoption,Spayed Female,Female
269,2 years,domestic shorthair,black,13/05/2012 00:00,,*Bonnie,Transfer,Spayed Female,Female
270,1 year,domestic shorthair,blue/white,10/08/2013 00:00,,,Transfer,Intact Female,Female
271,2 months,domestic shorthair,orange /white,04/06/2014 00:00,tabby,,Adoption,Neutered Male,Male
272,2 months,domestic shorthair,brown,26/08/2014 00:00,tabby,,Transfer,Intact Male,Male
273,8 months,domestic shorthair,,17/08/2013 00:00,torbie,,Transfer,Intact Female,Female
274,2 months,domestic shorthair,orange,30/09/2013 00:00,tabby,*Willow,Adoption,Spayed Female,Female
275,1 year,domestic shorthair,orange /white,15/10/2012 00:00,tabby,Jerry,Euthanasia,Neutered Male,Male
276,2 months,domestic longhair,blue/white,24/04/2014 00:00,,Solo,Adoption,Neutered Male,Male
277,4 months,domestic shorthair,white,05/08/2013 00:00,,Powder,Adoption,Neutered Male,Male
278,14 years,domestic shorthair,orange,18/10/2000 00:00,tabby,Rusty,Transfer,Neutered Male,Male
279,1 year,domestic shorthair,brown /white,03/07/2013 00:00,tabby,,Transfer,Intact Female,Female
280,9 years,domestic shorthair,blue/white,10/07/2005 00:00,,Cindy,Transfer,Spayed Female,Female
281,2 months,domestic shorthair,brown,17/07/2013 00:00,tabby,*Dixon,Adoption,Neutered Male,Male
282,2 days,domestic shorthair,black,06/09/2014 00:00,,,Transfer,Unknown,Female
