ID,age_upon_outcome,breed,color,date_of_birth,coat_pattern,name,outcome_type,sex_upon_outcome,sex
811,8 years,domestic shorthair,black,08/10/2006 00:00,,Chato,Adoption,Neutered Male,Male
812,2 years,domestic shorthair,brown /white,20/11/2011 00:00,tabby,,Transfer,Intact Male,Male
813,7 months,domestic shorthair,orange,06/04/2014 00:00,tabby,*Five,Adoption,Neutered Male,Male
814,5 months,domestic shorthair,,24/06/2014 00:00,calico,,Transfer,Intact Female,Female
815,5 days,domestic shorthair,blue,03/09/2014 00:00,tabby,,Transfer,Unknown,Female
816,2 months,domestic shorthair,brown,29/06/2014 00:00,tabby,,Return to Owner,Spayed Female,Female
817,7 years,domestic shorthair,blue /white,01/04/2007 00:00,tabby,Kitty,Return to Owner,Neutered Male,Male
818,3 weeks,domestic shorthair,brown /white,08/05/2014 00:00,tabby,,Transfer,Intact Male,Male
819,8 months,domestic shorthair,brown /white,19/05/2013 00:00,tabby,,Transfer,Intact Female,Female
820,2 months,domestic shorthair,orange /white,10/09/2013 00:00,tabby,,Adoption,Neutered Male,Male
821,2 years,siamese,flame,31/07/2012 00:00,point,Walter,Adoption,Neutered Male,Male
822,4 months,domestic mediumhair,brown /white,09/10/2013 00:00,tabby,,Adoption,Spayed Female,Female
823,1 year,domestic shorthair,blue/white,08/07/2013 00:00,,X,Transfer,Spayed Female,Female
824,3 weeks,domestic shorthair,black/white,11/04/2014 00:00,,,Transfer,Intact Female,Female
825,4 months,siamese,lilac,16/11/2013 00:00,point,Pascal,Transfer,Intact Male,Male
826,17 years,domestic shorthair,orange /white,12/10/1997 00:00,tabby,Mason,Return to Owner,Neutered Male,Male
827,2 months,domestic shorthair,orange,18/08/2014 00:00,tabby,*Major,Transfer,Neutered Male,Male
828,1 year,domestic shorthair,brown,08/11/2012 00:00,tabby,Gidget,Transfer,Spayed Female,Female
829,3 weeks,domestic shorthair,,14/10/2014 00:00,torbie,,Transfer,Intact Female,Female
830,1 month,domestic shorthair,brown,28/08/2014 00:00,tabby,Nene,Adoption,Spayed Female,Female
831,4 years,domestic longhair,gray,17/01/2010 00:00,,Riggs,Return to Owner,Neutered Male,Male
832,2 years,domestic shorthair,brown,02/02/2012 00:00,tabby,,Transfer,Intact Female,Female
833,9 months,domestic shorthair,brown /white,20/09/2013 00:00,tabby,,Transfer,Unknown,Female
834,2 months,domestic shorthair,silver,27/07/2013 00:00,tabby,*Katy,Transfer,Intact Female,Female
835,3 months,domestic shorthair,flame,20/04/2014 00:00,point,*Jasmine,Transfer,Intact Female,Female
836,2 months,domestic shorthair,blue/white,21/03/2014 00:00,,Stitch,Adoption,Neutered Male,Male
837,4 months,domestic shorthair,brown /white,10/09/2013 00:00,tabby,Yoda,Return to Owner,Neutered Male,Male
838,9 years,domestic shorthair,brown /white,29/04/2005 00:00,tabby,Wednesday,Return to Owner,Spayed Female,Female
839,2 months,domestic shorthair,brown /white,28/05/2014 00:00,tabby,,Adoption,Neutered Male,Male
840,1 year,domestic mediumhair/siamese,lynx,27/03/2013 00:00,point,,Transfer,Intact Male,Male
841,2 months,domestic shorthair,blue,23/09/2014 00:00,,*Yoakum,Adoption,Neutered Male,Male
842,4 days,domestic shorthair,cream,25/07/2014 00:00,tabby,,Transfer,Intact Male,Male
843,3 months,domestic shorthair,blue,26/06/2013 00:00,tabby,*Duffy,Adoption,Neutered Male,Male
844,6 years,domestic shorthair,brown /white,30/12/2007 00:00,tabby,Louie,Adoption,Neutered Male,Male
845,1 year,domestic shorthair,,22/07/2013 00:00,tortie,,Transfer,Intact Female,Female
846,1 year,domestic shorthair,black/white,28/06/2012 00:00,,Pepper,Return to Owner,Spayed Female,Female
847,10 years,domestic shorthair,brown /white,22/12/2004 00:00,tabby,,Died,Neutered Male,Male
848,2 months,domestic shorthair,black/white,31/03/2014 00:00,,*Grace,Transfer,Spayed Female,Female
849,4 days,domestic shorthair,brown,19/04/2014 00:00,tabby,,Transfer,Intact Male,Male
850,2 months,domestic shorthair,white/black,02/09/2014 00:00,,,Adoption,Spayed Female,Female
851,1 year,domestic shorthair,orange,16/11/2013 00:00,tabby,,Return to Owner,Intact Male,Male
852,3 months,domestic shorthair,,25/07/2013 00:00,tortie,Winnie,Adoption,Spayed Female,Female
853,2 months,domestic shorthair,,09/09/2014 00:00,calico,*Posey,Adoption,Spayed Female,Female
854,3 months,domestic shorthair,brown,15/06/2013 00:00,tabby,*Ria,Adoption,Spayed Female,Female
855,1 month,domestic shorthair,orange /white,14/06/2014 00:00,tabby,,Transfer,Intact Male,Male
856,2 years,domestic shorthair,orange,30/08/2011 00:00,tabby,*Navaho,Adoption,Spayed Female,Female
857,1 month,domestic shorthair,brown,25/09/2014 00:00,tabby,*Taco,Transfer,Intact Male,Male
858,2 years,domestic shorthair,black/white,21/12/2011 00:00,,Rio,Transfer,Spayed Female,Female
859,2 months,domestic shorthair,brown,05/04/2014 00:00,tabby,*Jack,Adoption,Neutered Male,Male
860,2 months,domestic shorthair,brown,13/09/2013 00:00,tabby,*Millard,Adoption,Neutered Male,Male
861,1 year,domestic shorthair,brown,29/05/2013 00:00,tabby,,Transfer,Unknown,Female
862,2 months,domestic shorthair,orange /white,03/06/2014 00:00,tabby,*Bandit,Adoption,Neutered Male,Male
863,2 months,domestic shorthair,,22/06/2014 00:00,torbie,*Nickel,Adoption,Spayed Female,Female
864,4 weeks,domestic shorthair,brown,26/08/2014 00:00,tabby,,Transfer,Unknown,Female
865,10 months,domestic shorthair,orange,26/02/2013 00:00,tabby,,Transfer,Neutered Male,Male
866,1 year,domestic shorthair,orange /white,10/10/2012 00:00,tabby,,Transfer,Intact Female,Female
867,2 months,domestic shorthair,/white,26/08/2013 00:00,tortie,*Adelaide,Adoption,Spayed Female,Female
868,3 weeks,domestic shorthair,black,19/05/2014 00:00,,,Transfer,Intact Male,Male
869,1 month,domestic shorthair,black,20/05/2014 00:00,,Bandit,Transfer,Intact Female,Female
870,2 months,domestic shorthair,brown /white,27/04/2014 00:00,tabby,Rocky,Adoption,Neutered Male,Male
871,3 years,domestic shorthair,orange,12/06/2011 00:00,tabby,*Milburn,Transfer,Neutered Male,Male
872,2 months,domestic shorthair,,23/03/2014 00:00,calico,Rosie,Adoption,Spayed Female,Female
873,2 months,domestic shorthair,brown,16/04/2014 00:00,tabby,,Adoption,Spayed Female,Female
874,10 months,domestic shorthair,orange,22/04/2013 00:00,tabby,,Transfer,Intact Male,Male
875,2 months,domestic shorthair,black,04/08/2014 00:00,,Rika,Adoption,Spayed Female,Female
876,4 months,domestic shorthair,/blue,26/12/2013 00:00,calico,*Jenny,Transfer,Spayed Female,Female
877,5 months,domestic mediumhair,brown,28/02/2014 00:00,tabby,,Transfer,Intact Female,Female
878,5 months,manx,black/white,10/05/2014 00:00,,,Transfer,Intact Female,Female
879,1 year,domestic shorthair,blue,09/07/2013 00:00,tabby,,Transfer,Spayed Female,Female
880,2 months,domestic shorthair,,05/04/2014 00:00,calico,,Adoption,Spayed Female,Female
881,3 months,domestic shorthair,brown /white,30/08/2014 00:00,tabby,*Teddy,Adoption,Neutered Male,Male
882,2 months,domestic shorthair,blue,13/09/2013 00:00,,*Moe,Adoption,Neutered Male,Male
883,1 year,domestic mediumhair,black/white,08/06/2013 00:00,,,Transfer,Spayed Female,Female
884,5 months,domestic shorthair,cream,27/03/2014 00:00,tabby,Charlie,Adoption,Neutered Male,Male
885,3 months,domestic shorthair,black/white,28/07/2013 00:00,,*Buster,Adoption,Neutered Male,Male
886,4 weeks,domestic shorthair,black/white,21/07/2014 00:00,,,Transfer,Intact Male,Male
887,5 months,domestic shorthair,blue,06/04/2014 00:00,,,Adoption,Neutered Male,Male
888,1 year,domestic mediumhair,black/white,27/07/2012 00:00,,Alexandra,Transfer,Spayed Female,Female
889,1 year,domestic longhair,black,07/06/2013 00:00,,,Transfer,Intact Female,Female
890,2 years,domestic shorthair,white,11/12/2011 00:00,,Jethro,Adoption,Neutered Male,Male
891,2 weeks,domestic shorthair,brown,24/07/2014 00:00,tabby,,Transfer,Intact Female,Female
892,4 years,domestic shorthair,black/white,09/05/2009 00:00,,Bert,Adoption,Neutered Male,Male
893,8 years,domestic shorthair,black/white,25/03/2005 00:00,,Abel,Adoption,Neutered Male,Male
894,1 year,domestic shorthair,black,19/11/2012 00:00,,,Transfer,Intact Female,Female
895,3 months,domestic shorthair,brown,13/08/2013 00:00,tabby,*Caramel,Adoption,Spayed Female,Female
896,6 years,russian blue,blue,01/09/2007 00:00,,Yuri,Adoption,Neutered Male,Male
897,2 months,domestic shorthair,blue,22/10/2014 00:00,,,Adoption,Spayed Female,Female
898,2 years,domestic shorthair,black,31/07/2012 00:00,,,Transfer,Intact Female,Female
899,2 weeks,domestic shorthair,black/white,09/10/2014 00:00,,,Transfer,Intact Male,Male
900,2 months,domestic shorthair,brown /white,28/04/2014 00:00,tabby,*Jonathan,Adoption,Neutered Male,Male
901,2 years,domestic shorthair,black/white,28/04/2012 00:00,,Rupaul,Transfer,Neutered Male,Male
902,10 years,domestic shorthair,cream /white,11/06/2004 00:00,tabby,,Euthanasia,Intact Female,Female
903,2 months,domestic shorthair,brown,14/07/2014 00:00,tabby,,Euthanasia,Unknown,Female
904,3 months,domestic shorthair,,26/12/2013 00:00,torbie,,Transfer,Intact Female,Female
905,3 months,domestic shorthair,black,16/07/2013 00:00,tabby,,Transfer,Neutered Male,Male
906,1 year,domestic shorthair,black,20/06/2013 00:00,,,Transfer,Intact Female,Female
907,1 month,domestic shorthair,brown,27/09/2013 00:00,tabby,,Euthanasia,Intact Male,Male
908,2 months,domestic shorthair,brown /white,22/07/2014 00:00,tabby,Hashbrown,Adoption,Neutered Male,Male
909,0 years,domestic shorthair,black,13/05/2014 00:00,,,Transfer,Unknown,Female
910,11 months,domestic shorthair,blue/white,03/09/2013 00:00,,Kitty Lou,Adoption,Spayed Female,Female
911,1 year,domestic shorthair,brown /white,04/04/2013 00:00,tabby,*Girly,Transfer,Spayed Female,Female
912,2 weeks,domestic shorthair,gray,20/08/2014 00:00,tabby,,Transfer,Neutered Male,Male
913,7 years,domestic shorthair,black/white,11/12/2006 00:00,,No Name,Adoption,Neutered Male,Male
914,2 years,domestic shorthair,/white,15/11/2011 00:00,torbie,Sammie,Return to Owner,Spayed Female,Female
915,3 months,domestic shorthair,,03/08/2013 00:00,tortie,Trixie,Transfer,Intact Female,Female
916,2 months,domestic shorthair,brown /white,17/04/2014 00:00,tabby,*Hamilton,Adoption,Neutered Male,Male
917,1 week,domestic shorthair,orange,29/07/2014 00:00,tabby,,Transfer,Intact Male,Male
918,3 weeks,domestic shorthair,black,02/08/2014 00:00,,,Transfer,Intact Female,Female
919,2 months,domestic shorthair,blue /white,17/04/2014 00:00,tabby,*Skittles,Adoption,Neutered Male,Male
920,2 years,domestic shorthair,brown /white,04/10/2011 00:00,tabby,*Magic,Adoption,Spayed Female,Female
921,2 months,domestic mediumhair,brown,02/08/2014 00:00,tabby,*Maple,Adoption,Spayed Female,Female
922,1 month,domestic shorthair,brown,07/06/2014 00:00,tabby,,Transfer,Intact Female,Female
923,2 months,domestic shorthair,brown,09/09/2014 00:00,tabby,Mason,Adoption,Neutered Male,Male
924,10 months,maine coon,brown,09/02/2013 00:00,tabby,Bruce,Adoption,Neutered Male,Male
925,3 months,domestic shorthair,black,27/08/2013 00:00,,*Molly,Adoption,Spayed Female,Female
926,2 months,domestic shorthair,orange /white,20/09/2013 00:00,tabby,Toby,Adoption,Intact Male,Male
927,1 day,domestic shorthair,white,28/03/2014 00:00,,,Transfer,Intact Male,Male
928,5 months,domestic shorthair,black,15/07/2013 00:00,,*Jayna,Transfer,Spayed Female,Female
929,5 months,domestic shorthair,cream,09/05/2013 00:00,tabby,*Freddie,Transfer,Neutered Male,Male
930,13 years,domestic shorthair,blue,18/08/2001 00:00,tabby,Angel,Adoption,Spayed Female,Female
931,8 years,domestic shorthair,orange,07/08/2006 00:00,tabby,,Euthanasia,Unknown,Female
932,4 years,domestic shorthair,white/red,31/01/2010 00:00,,,Euthanasia,Intact Male,Male
933,3 years,domestic shorthair,white,28/05/2011 00:00,,Finley,Return to Owner,Neutered Male,Male
934,6 years,domestic shorthair,brown /white,19/11/2007 00:00,tabby,Moonie,Return to Owner,Neutered Male,Male
935,4 years,domestic shorthair,brown,22/12/2009 00:00,tabby,Elsie,Return to Owner,Spayed Female,Female
936,4 months,domestic longhair,brown,02/07/2013 00:00,tabby,*Fiona,Adoption,Spayed Female,Female
937,3 months,domestic longhair,black,12/08/2014 00:00,,*Isaac,Adoption,Neutered Male,Male
938,8 months,domestic shorthair,brown /white,11/04/2014 00:00,tabby,,Transfer,Intact Male,Male
939,2 years,domestic shorthair,brown,02/03/2012 00:00,tabby,,Transfer,Neutered Male,Male
940,7 years,domestic shorthair,black/white,21/11/2007 00:00,,Chiky,Transfer,Spayed Female,Female
941,4 months,domestic shorthair,brown,12/12/2013 00:00,tabby,,Adoption,Neutered Male,Male
942,5 months,domestic shorthair,brown,17/09/2013 00:00,tabby,,Transfer,Unknown,Female
943,1 year,domestic shorthair,,20/12/2013 00:00,calico,,Transfer,Intact Female,Female
944,2 months,domestic shorthair,blue,22/05/2014 00:00,tabby,,Adoption,Spayed Female,Female
945,2 weeks,domestic shorthair,white/black,18/08/2014 00:00,,,Transfer,Intact Male,Male
946,2 months,domestic shorthair,brown,25/07/2014 00:00,tabby,*Peony,Adoption,Spayed Female,Female
947,1 year,domestic shorthair,/white,26/11/2012 00:00,tortie,*Minne,Transfer,Spayed Female,Female
948,3 months,domestic mediumhair,brown,30/05/2014 00:00,tabby,,Transfer,Intact Female,Female
949,6 years,domestic shorthair,blue,16/04/2008 00:00,,Bobby Lee,Transfer,Neutered Male,Male
950,2 months,domestic shorthair,black,07/08/2014 00:00,tabby,*Monty,Adoption,Neutered Male,Male
951,6 months,domestic shorthair,brown,22/04/2014 00:00,tabby,*Whisper,Adoption,Spayed Female,Female
952,2 weeks,domestic shorthair,orange,02/07/2014 00:00,tabby,,Transfer,Intact Female,Female
953,3 weeks,domestic shorthair,blue,04/04/2014 00:00,,,Transfer,Intact Female,Female
954,5 years,domestic shorthair,black/white,08/07/2009 00:00,,,Transfer,Spayed Female,Female
955,2 years,domestic shorthair,,12/11/2011 00:00,tortie,,Transfer,Intact Female,Female
956,2 months,domestic shorthair,brown,18/11/2013 00:00,tabby,*Davey,Adoption,Neutered Male,Male
957,2 months,domestic shorthair,brown,30/08/2014 00:00,tabby,*Cindy,Adoption,Spayed Female,Female
958,2 years,domestic shorthair,,10/10/2011 00:00,calico,,Transfer,Intact Female,Female
959,3 weeks,domestic shorthair,black,23/03/2014 00:00,,,Transfer,Intact Male,Male
960,1 month,domestic shorthair,,07/07/2014 00:00,tortie,,Transfer,Intact Female,Female
961,2 months,domestic shorthair,blue,29/05/2014 00:00,,Blue,Adoption,Intact Male,Male
962,10 years,domestic shorthair,,21/05/2004 00:00,torbie,*Bernice,Adoption,Spayed Female,Female
963,1 year,domestic shorthair,black,04/01/2013 00:00,,,Adoption,Spayed Female,Female
964,2 months,domestic shorthair,orange /white,14/10/2013 00:00,tabby,*Timmy,Adoption,Neutered Male,Male
965,1 month,domestic shorthair,black/white,29/06/2014 00:00,,*Maggie,Transfer,Intact Female,Female
966,6 months,domestic shorthair,black,20/08/2013 00:00,tabby,,Transfer,Unknown,Female
967,4 months,domestic shorthair,brown,24/06/2013 00:00,tabby,Jake,Adoption,Neutered Male,Male
968,2 months,domestic shorthair,brown,22/04/2014 00:00,tabby,Isla,Adoption,Spayed Female,Female
969,3 weeks,domestic shorthair,,30/08/2014 00:00,tortie,,Transfer,Intact Female,Female
970,1 year,domestic shorthair,cream,27/02/2013 00:00,tabby,,Transfer,Intact Male,Male
971,4 weeks,domestic shorthair,blue,22/09/2014 00:00,tabby,*Sugar,Transfer,Intact Male,Male
972,1 year,domestic shorthair,black/white,19/10/2012 00:00,,*Aggie,Transfer,Spayed Female,Female
